ts_run,schedule_slot,target_draw_id,top3,top12,best_signal,best_a11,ok_alert,nivel_alerta,should_play,priority_positions,numbers_to_play,obs_dominant,good_day,rows_used,model_version
2026-05-30T22:48:45Z,manual,LN|2026-05-30|NIGHT,"17,40,82","17,65,82,40,27,47,21,78,96,54,79,84",1.98072,3,1,SKIP,0,,,,0,120,LN-alert-v1
2026-05-31T17:06:31Z,manual,LN|2026-05-31|MID,"79,93,20","79,93,23,64,92,20,69,37,53,62,85,76",1.805184,5,1,SKIP,0,,,,0,120,LN-alert-v1
2026-05-31T17:16:00Z,13:15,LN|2026-05-31|MID,"79,93,20","79,93,23,64,92,20,69,37,53,62,85,76",1.805184,5,1,SKIP,0,,,,0,120,LN-alert-v1
2026-05-31T20:15:58Z,16:15,LN|2026-05-31|NIGHT,"17,40,96","17,47,84,65,37,40,78,96,21,27,82,54",1.925754,1,1,FUEGO,1,"12,11,10,9,8,7","54,82,27,21,96,78",n1/n2/n3,0,120,LN-alert-v1
2026-06-01T18:12:09Z,manual,LN|2026-06-01|MID,"79,64,93","79,93,23,64,92,20,37,98,69,53,11,85",1.718537,5,1,FUEGO,1,"10,4,11,8,3","53,64,11,98,23",n2,1,120,LN-alert-v1
2026-06-01T20:15:50Z,16:15,LN|2026-06-01|NIGHT,"21,17,47","17,47,54,65,84,21,68,37,96,78,82,27",1.903913,1,1,FUEGO,1,"12,11,10,9,8,7","27,82,78,96,37,68",n1/n2/n3,0,120,LN-alert-v1
2026-06-02T17:15:53Z,13:15,LN|2026-06-02|MID,"79,64,93","79,93,23,64,98,31,92,37,06,69,20,85",1.654185,3,1,AMARILLO,0,"12,2,7,9,11,3","85,93,92,06,20,23",n1/n3,0,120,LN-alert-v1
2026-06-02T20:15:55Z,16:15,LN|2026-06-02|NIGHT,"17,79,47","17,47,54,84,65,68,78,79,37,40,82,21",1.971712,1,1,FUEGO,1,"12,11,10,9,8,7","21,82,40,37,79,78",n1/n2/n3,0,120,LN-alert-v1
2026-06-03T17:15:50Z,13:15,LN|2026-06-03|MID,"79,93,64","79,93,23,37,31,64,98,69,06,92,85,53",1.99486,2,1,SKIP,0,,,,0,120,LN-alert-v1
2026-06-04T17:15:54Z,13:15,LN|2026-06-04|MID,"79,93,64","79,93,23,98,37,64,06,31,69,85,92,11",1.941332,2,1,SKIP,0,,,,0,120,LN-alert-v1
